year,month,timestamp_utc,coin,entry,sl,tp
2025,3,2025-03-26T20:17:19+00:00,ZRO,3.1019,2.098,15.0232
2025,3,2025-03-27T03:26:25+00:00,DOGE,0.19726,0.14067,70.74137
2025,3,2025-03-27T04:35:36+00:00,MUBARAK,0.147,0.08622,1.00483
2025,3,2025-03-28T22:18:43+00:00,TST,0.0674,0.0481,0.1904
2025,3,2025-03-29T08:52:33+00:00,TUT,0.04386,0.03029,0.088
2025,3,2025-03-30T20:04:17+00:00,REZ,0.01709,0.01126,
2025,3,2025-03-30T20:41:44+00:00,ZRO,2.86,2.098,15.0232
2025,3,2025-03-31T15:56:46+00:00,MLN,13.13,,69.39
2025,3,2025-03-31T19:44:44+00:00,REZ,0.01709,0.01126,0.20624
2025,3,2025-03-31T21:18:06+00:00,VIDT,0.02535,0.01264,0.13049
2025,4,2025-04-01T19:21:18+00:00,BTC,84.95,79.062,108.36
2025,4,2025-04-02T14:23:14+00:00,BTC,85.471,79.062,108.36
2025,4,2025-04-03T18:41:44+00:00,XRP,2.0508,1.6525,6.0197
2025,4,2025-04-03T19:43:47+00:00,XRP,2.0508,1.6525,6.0197
2025,4,2025-04-05T09:42:41+00:00,BROCCOLI714,0.03355,0.02591,0.08443
2025,4,2025-04-05T10:55:11+00:00,MLN,10.41,,31.4
2025,4,2025-04-05T18:09:01+00:00,FUN,0.008151,0.005628,0.018003
2025,4,2025-04-13T17:38:42+00:00,FUN,0.006711,0.004646,0.016952
2025,4,2025-04-14T01:29:30+00:00,BTC,,83.053,108.627
2025,4,2025-04-14T01:30:31+00:00,XRP,2.1379,,6.0148
2025,4,2025-04-14T17:58:37+00:00,KERNEL,0.3103,0.218,1.0019
2025,4,2025-04-16T01:30:47+00:00,PUMP,0.10801,0.08264,0.33638
2025,4,2025-04-16T01:38:51+00:00,BTC,83.279,78.183,108.375
2025,4,2025-04-17T15:09:26+00:00,FHE,0.06612,0.04394,
2025,4,2025-04-17T15:23:50+00:00,GUN,0.05054,0.03946,0.1166
2025,4,2025-04-17T15:52:03+00:00,INIT,0.7592,0.5243,
2025,4,2025-04-19T01:34:34+00:00,ALPACA,0.03,0.02752,0.08847
2025,4,2025-04-21T13:38:25+00:00,BANK,0.04799,0.03101,0.15315
2025,4,2025-04-22T01:06:45+00:00,MUBARAK,0.02955,0.01931,0.11831
2025,4,2025-04-22T16:42:47+00:00,BTC,90.424,82.136,151.904
2025,4,2025-04-23T22:08:59+00:00,BTC,93.35,,154.949
2025,4,2025-04-25T00:12:57+00:00,FLM,0.0268,0.0153,0.0979
2025,4,2025-04-25T06:26:57+00:00,RDNT,0.02779,0.01516,0.10895
2025,4,2025-04-25T06:41:19+00:00,REZ,0.015,0.01076,
2025,4,2025-04-25T14:00:48+00:00,ZEREBRO,,0.04114,
2025,4,2025-04-25T15:26:03+00:00,TAO,,220.78,72.216
2025,4,2025-04-25T15:47:20+00:00,BTC,95.007,83.925,154.949
2025,4,2025-04-25T16:09:45+00:00,NKN,0.04221,0.02297,0.14345
2025,4,2025-04-25T22:33:08+00:00,BTC,94.8,3.925,155.555
2025,4,2025-04-25T22:47:23+00:00,VOXEL,0.08341,0.04937,0.29585
2025,4,2025-04-26T08:22:22+00:00,HIFI,,,0.6563
2025,4,2025-04-26T16:16:24+00:00,MEMEFI,0.002801,0.001682,0.009048
2025,4,2025-04-26T18:28:05+00:00,TRUMP,15.48,10.976,79.541
2025,4,2025-04-27T17:28:56+00:00,FART,,,2.8138
2025,4,2025-04-28T05:03:50+00:00,ZEC,,20.97,217.13
2025,4,2025-04-28T05:19:37+00:00,LTC,86.01,48.73,412.48
2025,4,2025-04-28T07:28:43+00:00,DASH,23.77,13.44,285.87
2025,4,2025-04-28T18:56:20+00:00,FHE,,0.05729,0.42846
2025,4,2025-04-28T19:23:20+00:00,PIPPIN,0.02224,0.01068,0.0826
2025,4,2025-04-30T09:46:44+00:00,NKN,0.04221,0.02297,
2025,4,2025-04-30T09:52:30+00:00,LOKA,0.0882,0.0482,0.3517
2025,4,2025-04-30T15:11:37+00:00,VIRTUAL,1.3195,0.8901,10.1524
2025,4,2025-04-30T15:38:37+00:00,VOXEL,0.12073,0.07252,
2025,5,2025-05-01T01:46:15+00:00,SIGN,0.09653,0.06599,0.29195
2025,5,2025-05-01T11:35:02+00:00,DOLO,0.0613,0.04,0.2455
2025,5,2025-05-02T00:16:40+00:00,ATH,0.03472,0.02367,0.06581
2025,5,2025-05-02T05:59:51+00:00,AIOT,0.26766,0.17897,0.82301
2025,5,2025-05-03T15:03:27+00:00,MAVIA,0.24,0.1612,
2025,5,2025-05-03T15:40:22+00:00,BMT,,,0.3215
2025,5,2025-05-04T14:19:12+00:00,VIRTUAL,1.6885,,
2025,5,2025-05-05T02:15:32+00:00,NKN,0.04057,0.02297,0.14469
2025,5,2025-05-05T02:39:13+00:00,BTC,94.288,86.075,
2025,5,2025-05-08T03:39:02+00:00,EPT,0.011149,0.007265,0.050159
2025,5,2025-05-08T10:14:46+00:00,TURBO,0.0058945,0.003723,0.0294366
2025,5,2025-05-10T00:08:59+00:00,CAKE,2.402,1.059,26.7342
2025,5,2025-05-10T02:05:40+00:00,VINE,0.05288,0.02311,
2025,5,2025-05-10T02:12:25+00:00,VANA,6.601,3.906,22.64
2025,5,2025-05-10T08:06:42+00:00,PEPE,1.0132491,0.0074742,0.1551461
2025,5,2025-05-10T23:08:10+00:00,REZ,0.01672,0.00995,
2025,5,2025-05-12T01:36:17+00:00,SWARMS,0.03976,0.01906,0.20957
2025,5,2025-05-13T00:44:49+00:00,LUMIA,0.4084,0.226,1.944
2025,5,2025-05-13T17:10:44+00:00,ENA,0.4417,0.2672,1.3302
2025,5,2025-05-13T17:36:33+00:00,ETH,2.588,2.04,3.393
2025,5,2025-05-16T22:36:59+00:00,SWELL,,0.0109,
2025,5,2025-05-22T23:29:47+00:00,BTC,,101.614,222.222
2025,5,2025-05-27T12:23:44+00:00,ETH,,2.145,
2025,5,2025-05-30T10:07:21+00:00,AGT,0.034688,0.024,0.100385
2025,5,2025-05-31T14:23:03+00:00,BTC,,99.75,0.0
2025,5,2025-05-31T14:24:37+00:00,XRP,,1.5547,7.0
2025,5,2025-05-31T14:25:34+00:00,BNB,664.0,498.1,2.02
2025,5,2025-05-31T14:28:15+00:00,SUI,3.2443,2.5774,7.3531
2025,5,2025-05-31T14:47:17+00:00,HYPE,32.763,22.449,105.276
2025,6,2025-06-02T10:13:36+00:00,ETH,489.04,2.17,3.325
2025,6,2025-06-02T14:07:35+00:00,BTC,103.745,1.35,
2025,6,2025-06-02T20:38:10+00:00,ZEN,10.599,5.796,132.24
2025,6,2025-06-04T11:22:15+00:00,PORT3,,0.02756,0.30082
2025,6,2025-06-06T08:18:44+00:00,BTC,,9.883,140.332
2025,6,2025-06-13T16:32:16+00:00,PUMPBTC,0.0468,0.03675,0.30619
2025,6,2025-06-18T14:03:06+00:00,ETH,104.047,751.06,150.187
2025,6,2025-06-18T14:08:13+00:00,XRP,2.1577,1.5984,7.0836
2025,6,2025-06-19T16:12:51+00:00,CHESS,0.07976,0.05569,0.14979
2025,6,2025-06-21T01:38:38+00:00,BTC,103.223,6.582,140.332
2025,6,2025-06-21T01:48:49+00:00,FUN,0.005364,0.004375,0.01003
